asteroid_name,n_impactors,mass_sc_kg,vrel_use_mps,cadence_days,n_segments,kmax,force_impact,t0_months,final_miss_km,iterations_completed,scp_success,scp_converged,runtime_s,accepted_steps,close_approach_distance_km,sampled_ca_km,sampled_moid_km,error_message,max_control_norm,mean_control_norm,bang_bang_fraction,tau_used_s,tau_used_fraction,dv_used_mps
Apophis-forced,5,1000.0,10000.0,10.0,1400,50,True,6,1586.8194325332674,11,True,True,114.38008837500092,3,0.0,0.0,0.0,,0.9999999999999992,0.2777777777777892,0.27714285714285714,4319999.999999971,0.9999999999999931,0.039788735772973566
Apophis-forced,5,1000.0,10000.0,10.0,1400,50,True,12,3433.8398814194384,9,True,True,108.9160433329962,1,0.0,0.0,0.0,,0.7547688373654613,0.13888889393759596,0.18428571428571427,4320000.157034778,1.000000036350643,0.03978873721931996
Apophis-forced,5,1000.0,10000.0,10.0,1400,50,True,24,6979.836804187692,9,True,True,107.91066404199955,1,0.0,0.0,0.0,,0.7549999215427177,0.06944444926869144,0.09142857142857143,4320000.30010655,1.0000000694691085,0.039788738537061843
Apophis-forced,5,1000.0,10000.0,10.0,1400,50,True,36,10560.885938236152,9,True,True,108.10950429100194,1,0.0,0.0,0.0,,0.7549999927268399,0.04629629629779486,0.06142857142857143,4320000.00014011,1.0000000000324327,0.0397887357742643
Apophis-forced,5,1000.0,10000.0,10.0,1400,50,True,60,18027.570656272906,10,True,True,117.9774541250008,2,0.0,0.0,0.0,,0.9999999995741324,0.027777777848220504,0.027142857142857142,4320000.010954756,1.000000002535823,0.03978873587387103
